"Time","P1"
2022-05-07 20:00:00,0.298
2022-05-07 21:00:00,0.298
2022-05-07 22:00:00,0.239
2022-05-07 23:00:00,0.181
2022-05-08 00:00:00,0.127
2022-05-08 01:00:00,0.0939
2022-05-08 02:00:00,0.0781
2022-05-08 03:00:00,0.0600
2022-05-08 04:00:00,0.0513
2022-05-08 05:00:00,0.0513
2022-05-08 06:00:00,0.0515
2022-05-08 07:00:00,0.0808
2022-05-08 08:00:00,0.124
2022-05-08 09:00:00,0.199
2022-05-08 10:00:00,0.227
2022-05-08 11:00:00,0.265
2022-05-08 12:00:00,0.250
2022-05-08 13:00:00,0.204
2022-05-08 14:00:00,0.178
2022-05-08 15:00:00,0.160
2022-05-08 16:00:00,0.180
2022-05-08 17:00:00,0.183
2022-05-08 18:00:00,0.208
2022-05-08 19:00:00,0.269
2022-05-08 20:00:00,0.323
2022-05-08 21:00:00,0.330
2022-05-08 22:00:00,0.311
2022-05-08 23:00:00,0.212
2022-05-09 00:00:00,0.118
2022-05-09 01:00:00,0.0870
2022-05-09 02:00:00,0.0611
2022-05-09 03:00:00,0.0480
2022-05-09 04:00:00,0.0476
2022-05-09 05:00:00,0.0546
2022-05-09 06:00:00,0.0848
2022-05-09 07:00:00,0.146
2022-05-09 08:00:00,0.191
2022-05-09 09:00:00,0.184
2022-05-09 10:00:00,0.182
2022-05-09 11:00:00,0.179
2022-05-09 12:00:00,0.154
2022-05-09 13:00:00,0.179
2022-05-09 14:00:00,0.135
2022-05-09 15:00:00,0.157
2022-05-09 16:00:00,0.165
2022-05-09 17:00:00,0.195
2022-05-09 18:00:00,0.206
2022-05-09 19:00:00,0.264
2022-05-09 20:00:00,0.342
2022-05-09 21:00:00,0.357
2022-05-09 22:00:00,0.287
2022-05-09 23:00:00,0.204
2022-05-10 00:00:00,0.122
2022-05-10 01:00:00,0.0830
2022-05-10 02:00:00,0.0720
2022-05-10 03:00:00,0.0555
2022-05-10 04:00:00,0.0544
2022-05-10 05:00:00,0.0490
2022-05-10 06:00:00,0.0696
2022-05-10 07:00:00,0.183
2022-05-10 08:00:00,0.212
2022-05-10 09:00:00,0.193
2022-05-10 10:00:00,0.173
2022-05-10 11:00:00,0.152
2022-05-10 12:00:00,0.158
2022-05-10 13:00:00,0.142
2022-05-10 14:00:00,0.164
2022-05-10 15:00:00,0.157
2022-05-10 16:00:00,0.145
2022-05-10 17:00:00,0.181
2022-05-10 18:00:00,0.199
2022-05-10 19:00:00,0.280
2022-05-10 20:00:00,0.343
2022-05-10 21:00:00,0.321
2022-05-10 22:00:00,0.297
2022-05-10 23:00:00,0.194
2022-05-11 00:00:00,0.251
2022-05-11 01:00:00,0.0898
2022-05-11 02:00:00,0.0686
2022-05-11 03:00:00,0.0543
2022-05-11 04:00:00,0.0501
2022-05-11 05:00:00,0.0510
2022-05-11 06:00:00,0.0710
2022-05-11 07:00:00,0.168
2022-05-11 08:00:00,0.210
2022-05-11 09:00:00,0.187
2022-05-11 10:00:00,0.162
2022-05-11 11:00:00,0.162
2022-05-11 12:00:00,0.189
2022-05-11 13:00:00,0.161
2022-05-11 14:00:00,0.153
2022-05-11 15:00:00,0.158
2022-05-11 16:00:00,0.160
2022-05-11 17:00:00,0.190
2022-05-11 18:00:00,0.202
2022-05-11 19:00:00,0.297
2022-05-11 20:00:00,0.342
2022-05-11 21:00:00,0.332
2022-05-11 22:00:00,0.294
2022-05-11 23:00:00,0.177
2022-05-12 00:00:00,0.117
2022-05-12 01:00:00,0.0747
2022-05-12 02:00:00,0.0583
2022-05-12 03:00:00,0.0494
2022-05-12 04:00:00,0.0621
2022-05-12 05:00:00,0.0586
2022-05-12 06:00:00,0.0879
2022-05-12 07:00:00,0.179
2022-05-12 08:00:00,0.218
2022-05-12 09:00:00,0.204
2022-05-12 10:00:00,0.165
2022-05-12 11:00:00,0.168
2022-05-12 12:00:00,0.181
2022-05-12 13:00:00,0.157
2022-05-12 14:00:00,0.132
2022-05-12 15:00:00,0.177
2022-05-12 16:00:00,0.159
2022-05-12 17:00:00,0.184
2022-05-12 18:00:00,0.198
2022-05-12 19:00:00,0.248
2022-05-12 20:00:00,0.319
2022-05-12 21:00:00,0.334
2022-05-12 22:00:00,0.291
2022-05-12 23:00:00,0.201
2022-05-13 00:00:00,0.122
2022-05-13 01:00:00,0.0822
2022-05-13 02:00:00,0.0583
2022-05-13 03:00:00,0.0481
2022-05-13 04:00:00,0.0457
2022-05-13 05:00:00,0.0462
2022-05-13 06:00:00,0.0743
2022-05-13 07:00:00,0.176
2022-05-13 08:00:00,0.203
2022-05-13 09:00:00,0.184
2022-05-13 10:00:00,0.180
2022-05-13 11:00:00,0.169
2022-05-13 12:00:00,0.174
2022-05-13 13:00:00,0.153
2022-05-13 14:00:00,0.153
2022-05-13 15:00:00,0.166
2022-05-13 16:00:00,0.157
2022-05-13 17:00:00,0.187
2022-05-13 18:00:00,0.199
2022-05-13 19:00:00,0.221
2022-05-13 20:00:00,0.268
2022-05-13 21:00:00,0.238
2022-05-13 22:00:00,0.238
2022-05-13 23:00:00,0.200
2022-05-14 00:00:00,0.122
2022-05-14 01:00:00,0.115
2022-05-14 02:00:00,0.0777
2022-05-14 03:00:00,0.0588
2022-05-14 04:00:00,0.0592
2022-05-14 05:00:00,0.0491
2022-05-14 06:00:00,0.0569
2022-05-14 07:00:00,0.0709
2022-05-14 08:00:00,0.140
2022-05-14 09:00:00,0.188
2022-05-14 10:00:00,0.222
2022-05-14 11:00:00,0.214
2022-05-14 12:00:00,0.208
2022-05-14 13:00:00,0.187
2022-05-14 14:00:00,0.164
2022-05-14 15:00:00,0.166
2022-05-14 16:00:00,0.158
2022-05-14 17:00:00,0.171
2022-05-14 18:00:00,0.164
2022-05-14 19:00:00,0.218
2022-05-14 20:00:00,0.288
2022-05-14 21:00:00,0.238
2022-05-14 22:00:00,0.219
2022-05-14 23:00:00,0.177
2022-05-15 00:00:00,0.132
2022-05-15 01:00:00,0.0907
2022-05-15 02:00:00,0.0854
2022-05-15 03:00:00,0.0634
2022-05-15 04:00:00,0.0590
2022-05-15 05:00:00,0.0456
2022-05-15 06:00:00,0.0567
2022-05-15 07:00:00,0.0496
2022-05-15 08:00:00,0.0995
2022-05-15 09:00:00,0.155
2022-05-15 10:00:00,0.208
2022-05-15 11:00:00,0.230
2022-05-15 12:00:00,0.231
2022-05-15 13:00:00,0.229
2022-05-15 14:00:00,0.197
2022-05-15 15:00:00,0.199
2022-05-15 16:00:00,0.189
2022-05-15 17:00:00,0.225
2022-05-15 18:00:00,0.221
2022-05-15 19:00:00,0.278
2022-05-15 20:00:00,0.357
2022-05-15 21:00:00,0.346
2022-05-15 22:00:00,0.275
2022-05-15 23:00:00,0.178
2022-05-16 00:00:00,0.104
2022-05-16 01:00:00,0.0682
2022-05-16 02:00:00,0.0446
2022-05-16 03:00:00,0.0506
2022-05-16 04:00:00,0.0493
2022-05-16 05:00:00,0.0449
2022-05-16 06:00:00,0.0776
2022-05-16 07:00:00,0.168
2022-05-16 08:00:00,0.221
2022-05-16 09:00:00,0.183
2022-05-16 10:00:00,0.159
2022-05-16 11:00:00,0.162
2022-05-16 12:00:00,0.174
2022-05-16 13:00:00,0.165
2022-05-16 14:00:00,0.154
2022-05-16 15:00:00,0.157
2022-05-16 16:00:00,0.153
2022-05-16 17:00:00,0.175
2022-05-16 18:00:00,0.180
2022-05-16 19:00:00,0.268
2022-05-16 20:00:00,0.352
2022-05-16 21:00:00,0.313
2022-05-16 22:00:00,0.271
2022-05-16 23:00:00,0.226
2022-05-17 00:00:00,0.0937
2022-05-17 01:00:00,0.0820
2022-05-17 02:00:00,0.0542
2022-05-17 03:00:00,0.0471
2022-05-17 04:00:00,0.0463
2022-05-17 05:00:00,0.0467
2022-05-17 06:00:00,0.0712
2022-05-17 07:00:00,0.172
2022-05-17 08:00:00,0.203
2022-05-17 09:00:00,0.179
2022-05-17 10:00:00,0.168
2022-05-17 11:00:00,0.155

